Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
Bronchus,MaxDvh,"[0, 952.05]",18.52,,1
Bronchus,MaxDose,"[0, 2256.14]",0,,1
Chestwall_L,MaxDvh,"[0, 2025.76]",2.04,,1
D2cm,MaxDose,"[0, 3082.28]",0,,1
Esophagus,MaxDvh,"[0, 705.37]",16.91,,1
Esophagus,MaxDose,"[0, 1180.66]",0,,1
GreatVes,MaxDvh,"[0, 1177.73]",5.66,,1
GreatVes,MaxDose,"[0, 1675.98]",0,,1
Heart,MaxDvh,"[0, 897.49]",1.84,,1
Heart,MaxDose,"[0, 1515.07]",0,,1
Lungs,MaxDvh,"[0, 853.15]",10,,1
Lungs,MaxDvh,"[0, 292.16]",29.19,,1
Pericardium,MaxDvh,"[0, 1044.17]",3.23,,1
Pericardium,MaxDose,"[0, 1511.91]",0,,1
PTV,MinDvh,4800,95,,1
PTV,MinDvh,4320,99,,1
PTV,MaxDose,6000,0,,1
Rib,MaxDvh,"[0, 2880.29]",0.27,,1
Rib,MaxDose,"[0, 3941.02]",0,,1
Skin,MaxDvh,"[0, 966.23]",0.27,,1
Skin,MaxDose,"[0, 1265.99]",0,,1
SpinalCanal,MaxDvh,"[0, 911.69]",0.67,,1
Trachea,MaxDvh,"[0, 35.62]",15.21,,1
Trachea,MaxDose,"[0, 80.53]",0,,1
