Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
ChestWall,MaxDvh,AtMost,3000,3.42,1,linear_quadratic
D2cm,MaxDose,AtMost,2400,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,30.71,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1160,58.59,1,linear_quadratic
Lung_Total-GTV,MaxDvh,AtMost,1240,39.06,1,linear_quadratic
PTV,MinDvh,AtLeast,4800,95,1,linear_quadratic
PTV,MaxDose,AtMost,8000,,1,linear_quadratic
Ribs,MaxDvh,AtMost,3200,3.11,1,linear
Ribs,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,2.87,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
