Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
Bronchus,MaxDvh,1560,18.52,,"[1,1000]"
Bronchus,MaxDose,3480,0,,"[1,1000]"
Chestwall_L,MaxDvh,3000,2.04,,"[1,1000]"
D2cm,MaxDose,2400,0,,"[1,1000]"
Esophagus,MaxDvh,1880,16.91,,"[1,1000]"
Esophagus,MaxDose,3000,0,,"[1,1000]"
GreatVes,MaxDvh,4300,5.66,,"[1,1000]"
GreatVes,MaxDose,4900,0,,"[1,1000]"
Heart,MaxDvh,2800,1.84,,"[1,1000]"
Heart,MaxDose,3400,0,,"[1,1000]"
Lungs,MaxDvh,2000,10,,"[1,1000]"
Lungs,MaxDvh,1160,29.19,,"[1,1000]"
Pericardium,MaxDvh,2800,3.23,,"[1,1000]"
Pericardium,MaxDose,3400,0,,"[1,1000]"
PTV,MinDvh,4800,95,,"[1,1000]"
PTV,MinDvh,4320,99,,"[1,1000]"
PTV,MaxDose,6000,0,,"[1,1000]"
Rib,MaxDvh,3200,0.27,,"[1,1000]"
Rib,MaxDose,4000,0,,"[1,1000]"
Skin,MaxDvh,3320,0.27,,"[1,1000]"
Skin,MaxDose,3600,0,,"[1,1000]"
SpinalCanal,MaxDvh,2080,0.67,,"[1,1000]"
Trachea,MaxDvh,1560,15.21,,"[1,1000]"
Trachea,MaxDose,3480,0,,"[1,1000]"
