Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
SpinalCanal,MaxDose,2080,0,,90
Esophagus,MaxDose,1880,0,,90
Heart,MaxDose,2800,0,,90
GreatVes,MaxDose,4300,0,,90
Trachea,MaxDose,1560,0,,90
Bronchus,MaxDose,1560,0,,90
Rib,MaxDose,3200,0,,90
Skin,MaxDose,3320,0,,90
PTV,MaxDose,6240,0,,95
PTV,MinDose,4800,0,,100
Chestwall_L,MaxDvh,3000,1.5,,90
Lungs,MaxDvh,2000,10,,90
D2cm,MaxDose,2300,0,,90
Pericardium,MaxDose,2800,0,,90
R1,MaxDose,4400,0,,90
R2,MaxDose,4200,0,,90
D2cm_CD,MaxDose,2300,0,,90
D2cm_CD2,MaxDose,2300,0,,90
