Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
BronchialTree,MaxDvh,"[780,1560]",38.87,,1
BronchialTree,MaxDose,"[1740,3480]",0,,1
ChestWall,MaxDvh,"[1500,3000]",3.42,,1
D2cm,MaxDose,"[1300,2600]",0,,1
Esophagus,MaxDvh,"[940,1880]",30.71,,1
Esophagus,MaxDose,"[1500,3000]",0,,1
GreatVessels,MaxDvh,"[2150,4300]",4.75,,1
GreatVessels,MaxDose,"[2450,4900]",0,,1
Heart,MaxDvh,"[1440,2880]",1.61,,1
Heart,MaxDose,"[1700,3400]",0,,1
Lung_Total-GTV,MaxDvh,"[1000,2000]",10,,1
Lung_Total-GTV,MaxDvh,"[580,1160]",58.59,,1
PTV,MinDvh,4800,95,,1
PTV,MinDvh,4320,99,,1
Ribs,MaxDvh,"[1600,3200]",3.11,,1
Ribs,MaxDose,"[2000,4000]",0,,1
Skin,MaxDvh,"[1660,3320]",0.32,,1
Skin,MaxDose,"[1800,3600]",0,,1
SpinalCanal,MaxDvh,"[1040,2080]",0.72,,1
SpinalCanal,MaxDvh,"[680,1360]",2.87,,1
SpinalCanal,MaxDose,"[1300, 2600]",0,,1
Trachea,MaxDvh,"[780,1560]",15.43,,1
Trachea,MaxDose,"[1740,3480]",0,,1
