Roi,RoiVolume (cm^3),Bayes,Clinical
D2cm,228.3332265,1,1
A_Pulmonary,60.86320686,,
A_Aorta,153.4008059,,
BronchialTree,10.43525098,,2
Bronchus_PRV20,459.0535123,,
Carina,23.27611373,,
ChestWall,876.0748055,1,1
Esophagus,16.42170833,1,2
Skin,3245.275808,,2
GreatVessels,210.7922044,,2
GTV_ITV,7.517828431,,
Heart,930.1230583,,2
Liver,1484.753872,,
Lung_L,1149.685828,,
Lung_R,1417.083195,,
Lung_Total-GTV,2560.923756,2,2
PTV,21.8266598,2,2
Ribs,32.6595848,2,2
SpinalCanal,42.04690343,2,3
Stomach,143.7221039,,
Trachea,26.32136176,,2
External,33646.54467,,
Couch Core,6963.178446,,
Couch Shell,943.1332882,,
Couch Rails,109.849377,,
ot,33503.18503,,
ring,96.74241569,,
4800 cGy Prescription,22.30469069,,
2400 cGy,95.20287353,,
5040 cGy,19.17603333,,
403 cGy max dose to spinal canal,2276.33004,,
HighDoseSpillage-AutoGenerated,33625.0834,,
D_2cm-AutoGenerated,33425.91231,,
