Roi,RoiVolume (cm^3),Bayes,Clinical
BrachialPlexus,8.815612745,,2
BronchialTree,19.6222902,,2
Bronchus_PRV20,325.6283069,,
Carina,15.00846225,,
ChestWall,731.3795964,1,1
Esophagus,6.449817647,1,2
GreatVessels,219.6918221,,2
GTV_ITV,6.23109951,,
Heart,512.6305368,,2
Lung_L,2135.463465,,
Lung_R,3027.456897,,
Lungs,5163.99865,,
PTV,20.06049461,2,3
Ribs,83.40158916,2,2
Skin,249.7881553,,2
SpinalCanal,55.86337304,2,2
Trachea,22.00642108,,2
External,20939.17997,,
Couch Core,7364.725701,,
Couch Shell,1000.503941,,
Couch Rails,115.5926402,,
D2cm,226.4175363,1,1
Lung_Total-GTV,5158.361744,2,3
max 3600,2171.671161,,
max 1680,2888.680721,,
1440,277.8527402,,
4800cGy Rx IDL,19.85610147,,
1099cGy max cord IDL,507.3896029,,
