Roi,FunctionType,DoseLevel,PercentVolume,EudParameterA,Weight
ChestWall,MaxDvh,"[750.0, 3000]",1.462400877,,1
D2cm,MaxDose,"[744.0, 2976]",0.0,,1
Esophagus,MaxDvh,"[470.0, 1880]",9.060514939,,1
Lung_Total-GTV,MaxDvh,"[290.0, 1160]",45.04151947,,1
Lung_Total-GTV,MaxDvh,"[310.0, 1240]",30.02767965,,1
PTV,MinDvh,4800,95.0,,1
PTV,MaxDose,"[5600.0, 8000]",0.0,,1
Ribs,MaxDvh,"[800.0, 3200]",0.213129391,,1
Ribs,MaxDose,"[1000.0, 4000]",0.0,,1
SpinalCanal,MaxDvh,"[340.0, 1360]",2.479602836,,1
SpinalCanal,MaxDose,"[650.0, 2600]",0.0,,1
