Roi,RoiVolume (cm^3),Type,GoalCriteria,DoseLevel (cGy),Volume (cm^3),Volume (%)
ChestWall,2051.421089,MaxDvh,AtMost,3000,30,1.462400877
D2cm,311.8749603,MaxDose,AtMost,2976,,
Esophagus,55.18450147,MaxDvh,AtMost,1880,5,9.060514939
Lung_Total-GTV,3330.260652,MaxDvh,AtMost,1160,1500,45.04151947
Lung_Total-GTV,3330.260652,MaxDvh,AtMost,1240,1000,30.02767965
PTV,59.3606451,MinDvh,AtLeast,4800,,95
PTV,59.3606451,MaxDose,AtMost,8000,,
Ribs,469.1985432,MaxDvh,AtMost,3200,1,0.213129391
Ribs,469.1985432,MaxDose,AtMost,4000,,
SpinalCanal,48.39484706,MaxDvh,AtMost,1360,1.2,2.479602836
SpinalCanal,48.39484706,MaxDose,AtMost,2600,,
